modality,model_name,split,n_rows,accuracy,macro_f1,weighted_f1,mean_confidence,n_high_conf_errors,ece
depth,baseline_depth_goal,test,1133,0.8773168578993822,0.666635929009438,0.881870989549439,0.9310997242119496,62,0.055295921960765
fusion,baseline_scan_depth_goal,test,1133,0.8640776699029126,0.6559366803891578,0.867251638395655,0.9321008768632996,64,0.072065918033142
fusion,class_weighted_focal_scan_depth_goal,test,1133,0.8111209179170344,0.6318262862766533,0.8264790704742833,0.8632308869422902,52,0.0548875543625082
scan,baseline_scan_goal,test,1133,0.8693733451015004,0.6741335334718013,0.8775534601865289,0.9385970484757992,78,0.0778396792466516
scan,class_weighted_focal_scan_goal,test,1133,0.8075904677846425,0.6343487209207291,0.8235145506361775,0.8693216857085266,51,0.061731217923884
depth,baseline_depth_goal,train,1147,0.96512641673932,0.7609485675016725,0.9650255830170476,0.951199635330656,2,0.0141906944585033
fusion,baseline_scan_depth_goal,train,1147,0.980819529206626,0.7792712570531053,0.9806891710633056,0.9663408354977056,3,0.0144786937089203
fusion,class_weighted_focal_scan_depth_goal,train,1147,0.909328683522232,0.7186315740637408,0.9172103917226112,0.8726447162258179,2,0.0631796095094788
scan,baseline_scan_goal,train,1147,0.966870095902354,0.7632159756882597,0.9672583939159975,0.9560178029817816,3,0.0135345079634848
scan,class_weighted_focal_scan_goal,train,1147,0.9311246730601568,0.7337591617019756,0.9358804608643484,0.873086829547167,1,0.0580378435129898
depth,baseline_depth_goal,val,1177,0.8742565845369583,0.679573031936171,0.8725788460238582,0.9259915300720104,55,0.0662807291508126
fusion,baseline_scan_depth_goal,val,1177,0.8317757009345794,0.6323015594849893,0.8248371352777917,0.9328862885195216,89,0.1021638551858287
fusion,class_weighted_focal_scan_depth_goal,val,1177,0.822429906542056,0.6575584434112148,0.8334172413841221,0.8375959570567894,24,0.0543051154915316
scan,baseline_scan_goal,val,1177,0.8768054375531011,0.6829807707804932,0.8753481169462854,0.93871121590889,63,0.0619057783557888
scan,class_weighted_focal_scan_goal,val,1177,0.8496176720475785,0.6720846027429979,0.8555932883600852,0.8424524734257234,25,0.0283863061347449
